,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation
370,San Gabriel Unified,594,226,0.8584,0.7434000000000001,549,128,0.9297,0.9531000000000001,0.6947,0.9218999999999999,0.38047138047138046,0.2331511839708561,53.0,25.0,27.0,26.0,25.0,0.83,0.08922558922558922
371,SBE - New West Charter,87,48,0.9582999999999999,0.6667000000000001,135,7,,,0.6667000000000001,,0.5517241379310345,0.05185185185185185,24.0,29.0,27.0,25.0,26.0,0.88,0.27586206896551724
372,Calistoga Joint Unified,55,14,,,63,1,,,,,0.2545454545454545,0.015873015873015872,20.0,15.0,16.0,17.0,16.0,0.1,0.36363636363636365
373,San Jacinto Unified,851,215,0.5953,0.2605,833,64,0.40630000000000005,0.2813,0.2465,0.23440000000000003,0.2526439482961222,0.07683073229291716,16.0,19.0,21.0,20.0,20.0,0.38,0.01880141010575793
374,River Delta Joint Unified,169,67,0.597,0.2836,190,40,0.475,0.275,0.25370000000000004,0.25,0.39644970414201186,0.21052631578947367,19.0,17.0,19.0,19.0,18.0,0.32,0.11242603550295859
375,Robla Elementary,20,0,,,77,0,,,,,0.0,0.0,0.0,,,,,,0.0
376,Aromas - San Juan Unified,76,12,,,89,3,,,,,0.15789473684210525,0.033707865168539325,10.0,,,,,,0.13157894736842105
377,Chino Valley Unified,2337,1635,0.6361,0.42200000000000004,2346,1974,0.6403,0.4509,0.3945,0.4174,0.699614890885751,0.8414322250639387,200.0,25.0,25.0,24.0,24.0,0.72,0.08557980316645272
378,Upland Unified,912,332,0.6958,0.4819,777,22,0.9545,0.9091,0.4669,0.9091,0.36403508771929827,0.028314028314028315,100.0,23.0,23.0,22.0,21.0,0.62,0.10964912280701754
379,Shasta Union High,1273,198,0.9192,0.8029999999999999,1285,54,0.9444,0.9074,0.7778,0.9074,0.15553809897879026,0.04202334630350195,96.0,25.0,26.0,25.0,25.0,0.86,0.07541241162608013
380,Sierra-Plumas Joint Unified,36,12,,,38,4,,,,,0.3333333333333333,0.10526315789473684,4.0,,,,,,0.1111111111111111
381,Siskiyou Union High,105,31,0.8387,0.5484,149,1,,,0.5484,,0.29523809523809524,0.006711409395973154,22.0,20.0,22.0,19.0,20.0,0.5,0.20952380952380953
382,Solano County Office of Education,147,0,,,47,0,,,,,0.0,0.0,0.0,,,,,,0.0
383,Vallejo City Unified,1032,278,0.6403,0.3237,1000,127,0.4961,0.19690000000000002,0.30219999999999997,0.1732,0.2693798449612403,0.127,103.0,18.0,19.0,18.0,19.0,0.27,0.0998062015503876
384,Modesto City Elementary,18,1,,,32,0,,,,,0.05555555555555555,0.0,1.0,,,,,,0.05555555555555555
385,Ventura Unified,1185,317,0.8801000000000001,0.7319,1329,155,0.9548000000000001,0.8323,0.7066,0.8194,0.26751054852320677,0.11662904439428141,184.0,23.0,24.0,23.0,23.0,0.64,0.15527426160337554
386,Conejo Valley Unified,1733,601,0.9118,0.7887000000000001,1768,223,0.9954999999999999,0.9731000000000001,0.7687,0.9731000000000001,0.346797461050202,0.126131221719457,380.0,26.0,27.0,26.0,26.0,0.87,0.2192729371032891
387,Santa Paula Unified,376,87,0.6207,0.4138,420,4,,,0.37929999999999997,,0.23138297872340424,0.009523809523809525,124.0,18.0,19.0,19.0,20.0,0.38,0.32978723404255317
388,Wheatland Union High,219,47,0.8298000000000001,0.4894,212,7,,,0.4681,,0.2146118721461187,0.0330188679245283,8.0,,,,,,0.0365296803652968
389,Alameda Unified,928,398,0.8342,0.7211,889,110,0.9727,0.9181999999999999,0.6984999999999999,0.9,0.42887931034482757,0.12373453318335208,103.0,26.0,26.0,25.0,25.0,0.84,0.11099137931034483
390,Black Oak Mine Unified,89,10,,,111,0,,,,,0.11235955056179775,0.0,3.0,,,,,,0.033707865168539325
391,Fresno County Office of Education,302,11,,,548,0,,,,,0.03642384105960265,0.0,0.0,,,,,,0.0
392,Fowler Unified,169,41,0.46340000000000003,0.1463,214,34,0.6765000000000001,0.3529,0.1463,0.3529,0.24260355029585798,0.1588785046728972,4.0,,,,,,0.023668639053254437
393,Golden Plains Unified,108,43,0.3256,0.11630000000000001,156,0,,,0.09300000000000001,,0.39814814814814814,0.0,5.0,,,,,,0.046296296296296294
394,Caruthers Unified,163,64,0.2813,0.17190000000000003,138,28,0.7143,0.2857,0.125,0.2143,0.39263803680981596,0.2028985507246377,14.0,,,,,,0.08588957055214724
395,Northern Humboldt Union High,408,85,0.8706,0.7176,415,31,0.9355,0.8387,0.6706,0.8387,0.20833333333333334,0.0746987951807229,32.0,24.0,26.0,24.0,24.0,0.72,0.0784313725490196
396,Mojave Unified,166,18,0.7778,0.5,164,2,,,0.44439999999999996,,0.10843373493975904,0.012195121951219513,26.0,17.0,19.0,17.0,18.0,0.31,0.1566265060240964
397,Muroc Joint Unified,102,33,0.7879,0.4545,99,6,,,0.39390000000000003,,0.3235294117647059,0.06060606060606061,5.0,,,,,,0.049019607843137254
398,Susanville Elementary,25,0,,,33,0,,,,,0.0,0.0,0.0,,,,,,0.0
399,Westwood Unified,15,0,,,15,0,,,,,0.0,0.0,1.0,,,,,,0.06666666666666667
400,Hawthorne,124,75,0.8933,0.6933,126,2,,,0.68,,0.6048387096774194,0.015873015873015872,118.0,21.0,22.0,22.0,20.0,0.54,0.9516129032258065
401,Monrovia Unified,380,141,0.7304999999999999,0.4965,477,13,,,0.4539,,0.37105263157894736,0.027253668763102725,56.0,21.0,23.0,21.0,21.0,0.61,0.14736842105263157
402,Montebello Unified,2336,726,0.6335999999999999,0.3444,2058,6,,,0.3223,,0.3107876712328767,0.0029154518950437317,236.0,18.0,19.0,18.0,19.0,0.29,0.10102739726027397
403,Pomona Unified,1978,628,0.5924,0.3057,1660,29,0.8621,0.7241,0.2787,0.7241,0.31749241658240646,0.01746987951807229,209.0,18.0,19.0,18.0,19.0,0.28,0.10566228513650151
404,Arena Union Elementary,5,1,,,8,0,,,,,0.2,0.0,,,,,,,
405,Carmel Unified,221,57,1.0,0.9298000000000001,221,13,,,0.9298000000000001,,0.2579185520361991,0.058823529411764705,107.0,27.0,27.0,25.0,25.0,0.89,0.4841628959276018
406,Salinas Union High,2783,738,0.6003000000000001,0.36310000000000003,2719,36,0.7778,0.5832999999999999,0.3306,0.5832999999999999,0.2651814588573482,0.013240161824200073,401.0,19.0,20.0,20.0,20.0,0.38,0.1440891124685591
407,Orange County Department of Education,663,64,0.7188,0.5313,1026,8,,,0.46880000000000005,,0.09653092006033183,0.007797270955165692,0.0,,,,,,0.0
408,Tustin Unified,1981,695,0.8288,0.7006999999999999,2045,251,0.988,0.988,0.6718999999999999,0.9801000000000001,0.3508329126703685,0.12273838630806846,455.0,25.0,25.0,25.0,24.0,0.71,0.22968197879858657
409,SBE - Magnolia Science Academy Santa Ana,26,13,,,27,1,,,,,0.5,0.037037037037037035,3.0,,,,,,0.11538461538461539
410,Placer County Office of Education,43,1,,,41,0,,,,,0.023255813953488372,0.0,1.0,,,,,,0.023255813953488372
411,Rocklin Unified,1247,438,0.9155,0.7785,1186,154,0.961,0.9286,0.7603,0.8896,0.351242983159583,0.12984822934232715,259.0,25.0,26.0,25.0,25.0,0.83,0.20769847634322375
412,Alvord Unified,1423,343,0.6501,0.4286,1464,1229,0.4174,0.2465,0.3994,0.2205,0.2410400562192551,0.8394808743169399,61.0,22.0,23.0,22.0,22.0,0.61,0.04286718200983837
