,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation
408,Salinas Union High,2683.0,725.0,0.6179,0.36,2645.0,586.0,0.7440000000000001,0.5085000000000001,0.33240000000000003,0.004761,0.270219903093552,0.2215500945179584,2783,738,0.6003000000000001,0.36310000000000003,2719,36,0.7778,0.5832999999999999,0.3306,0.5832999999999999,0.2651814588573482,0.013240161824200073
409,Orange County Department of Education,708.0,85.0,0.6823999999999999,0.4824,1300.0,72.0,0.8332999999999999,0.7222,0.4353,0.006667000000000001,0.12005649717514125,0.055384615384615386,663,64,0.7188,0.5313,1026,8,,,0.46880000000000005,,0.09653092006033183,0.007797270955165692
410,Tustin Unified,1992.0,761.0,0.8292,0.6452,1963.0,921.0,0.8534,0.7448,0.6242,0.007253000000000001,0.3820281124497992,0.46917982679572084,1981,695,0.8288,0.7006999999999999,2045,251,0.988,0.988,0.6718999999999999,0.9801000000000001,0.3508329126703685,0.12273838630806846
411,SBE - Magnolia Science Academy Santa Ana,34.0,14.0,,,30.0,27.0,0.6296,0.44439999999999996,,0.004074,0.4117647058823529,0.9,26,13,,,27,1,,,,,0.5,0.037037037037037035
412,Placer County Office of Education,109.0,3.0,,,75.0,3.0,,,,,0.027522935779816515,0.04,43,1,,,41,0,,,,,0.023255813953488372,0.0
413,Rocklin Unified,1171.0,417.0,0.9017000000000001,0.777,1216.0,554.0,0.9603,0.8809,0.7578,0.008736,0.3561058923996584,0.4555921052631579,1247,438,0.9155,0.7785,1186,154,0.961,0.9286,0.7603,0.8896,0.351242983159583,0.12984822934232715
414,Alvord Unified,1517.0,357.0,0.6275,0.4006,1430.0,1202.0,0.4767,0.2438,0.3613,0.002213,0.23533289386947923,0.8405594405594405,1423,343,0.6501,0.4286,1464,1229,0.4174,0.2465,0.3994,0.2205,0.2410400562192551,0.8394808743169399
415,Moreno Valley Unified,2481.0,1992.0,0.381,0.1732,2353.0,652.0,0.5982,0.3328,0.1606,0.003083,0.8029020556227328,0.27709307267318317,2333,1843,0.35810000000000003,0.1693,2415,36,0.7222,0.5556,0.15410000000000001,0.5,0.7899699957136734,0.014906832298136646
416,Folsom-Cordova Unified,1617.0,460.0,0.887,0.75,1645.0,558.0,0.9623999999999999,0.9176000000000001,0.7239,0.008995999999999999,0.2844774273345702,0.339209726443769,1688,406,0.9163,0.7906,1627,194,0.9845,0.9433,0.7759,0.9433,0.24052132701421802,0.11923786109403811
417,Morongo Unified,565.0,102.0,0.8234999999999999,0.4608,537.0,86.0,0.9301999999999999,0.6163000000000001,0.4608,0.006047,0.18053097345132743,0.1601489757914339,553,104,0.7212000000000001,0.41350000000000003,594,38,0.8684000000000001,0.6842,0.3942,0.6579,0.18806509945750452,0.06397306397306397
