,district,students_in_grade_12_19,act_test_takers_19,act_read_19,act_eng_19,act_math_19,act_sci_19,act_comp_over_21_19,act_19_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
143,Covina-Valley Unified,1066.0,72.0,21.0,20.0,20.0,20.0,0.4,0.0675422138836773,7.78,13698.0,73801.0,0.027000000000000003,0.003,0.069,0.03,0.7879999999999999,0.002,0.069,0.012,0.002
144,Culver City Unified,556.0,148.0,24.0,24.0,22.0,23.0,0.64,0.26618705035971224,9.09,11949.0,95044.0,0.11599999999999999,0.001,0.106,0.015,0.371,0.003,0.258,0.12,0.009000000000000001
145,Downey Unified,2147.0,135.0,23.0,22.0,23.0,22.0,0.67,0.06287843502561714,8.08,13423.0,74957.0,0.028999999999999998,0.001,0.018000000000000002,0.008,0.89,0.002,0.045,0.006999999999999999,0.0
146,Duarte Unified,405.0,59.0,23.0,23.0,21.0,21.0,0.53,0.145679012345679,1.68,14365.0,74984.0,0.05,0.001,0.057999999999999996,0.028999999999999998,0.672,0.002,0.125,0.036000000000000004,0.027000000000000003
147,El Monte Union High,2308.0,302.0,21.0,20.0,21.0,20.0,0.47,0.13084922010398614,25.52,15285.0,52729.0,0.003,0.0,0.196,0.006,0.7809999999999999,0.0,0.011000000000000001,0.002,0.002
148,El Rancho Unified,731.0,218.0,19.0,18.0,19.0,19.0,0.28,0.2982216142270862,19.31,13058.0,68467.0,0.005,0.0,0.004,0.004,0.9740000000000001,0.001,0.01,0.003,0.0
149,El Segundo Unified,319.0,109.0,25.0,25.0,24.0,24.0,0.72,0.34169278996865204,26.38,11604.0,109577.0,0.039,0.002,0.076,0.015,0.22399999999999998,0.003,0.484,0.156,0.0
150,Glendale Unified,1978.0,221.0,26.0,26.0,26.0,25.0,0.84,0.11172901921132457,22.17,12505.0,69114.0,0.011000000000000001,0.001,0.113,0.045,0.2,0.001,0.593,0.035,0.0
151,Glendora Unified,639.0,79.0,25.0,23.0,24.0,23.0,0.84,0.12363067292644757,8.67,11441.0,97274.0,0.012,0.002,0.10400000000000001,0.023,0.456,0.001,0.34600000000000003,0.055,0.0
153,Hawthorne,112.0,112.0,20.0,20.0,21.0,19.0,0.44,1.0,42.17,13250.0,50580.0,0.201,0.004,0.023,0.013999999999999999,0.716,0.011000000000000001,0.021,0.006,0.004
154,Inglewood Unified,695.0,227.0,17.0,16.0,17.0,17.0,0.16,0.32661870503597124,24.69,14601.0,56766.0,0.376,0.006,0.005,0.002,0.589,0.005,0.005,0.008,0.005
155,La Canada Unified,347.0,138.0,29.0,29.0,29.0,28.0,0.94,0.3976945244956772,133.01,12010.0,186500.0,0.006,0.001,0.305,0.02,0.115,0.0,0.446,0.10400000000000001,0.005
