,district,students_in_grade_12_19,sat_19_grade_12_takers,sat_19_grade_12_at_erwb_benchmark,sat_19_grade_12_at_math_benchmark,students_in_grade_11_19,sat_19_grade_11_takers,sat_19_grade_11_at_erwb_benchmark,sat_19_grade_11_at_math_benchmark,sat_19_grade_12_at_both_benchmarks,sat_19_grade_11_at_both_benchmarks,sat_19_g12_participation,sat_19_g11_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
77,Salinas Union High,2683.0,725.0,0.6179,0.36,2645.0,586.0,0.7440000000000001,0.5085000000000001,0.33240000000000003,0.004761,0.270219903093552,0.2215500945179584,24.34,12953.0,65268.0,0.006999999999999999,0.001,0.009000000000000001,0.016,0.898,0.001,0.06,0.006,0.001
79,Tustin Unified,1992.0,761.0,0.8292,0.6452,1963.0,921.0,0.8534,0.7448,0.6242,0.007253000000000001,0.3820281124497992,0.46917982679572084,1.66,11031.0,91676.0,0.016,0.001,0.207,0.023,0.466,0.003,0.22899999999999998,0.05,0.005
82,Rocklin Unified,1171.0,417.0,0.9017000000000001,0.777,1216.0,554.0,0.9603,0.8809,0.7578,0.008736,0.3561058923996584,0.4555921052631579,11.71,11360.0,99933.0,0.015,0.003,0.102,0.035,0.16699999999999998,0.003,0.5770000000000001,0.083,0.015
83,Alvord Unified,1517.0,357.0,0.6275,0.4006,1430.0,1202.0,0.4767,0.2438,0.3613,0.002213,0.23533289386947923,0.8405594405594405,11.26,13771.0,70862.0,0.038,0.002,0.037000000000000005,0.015,0.8,0.005,0.087,0.013999999999999999,0.002
84,Moreno Valley Unified,2481.0,1992.0,0.381,0.1732,2353.0,652.0,0.5982,0.3328,0.1606,0.003083,0.8029020556227328,0.27709307267318317,18.89,14013.0,64003.0,0.13,0.002,0.013999999999999999,0.012,0.738,0.006999999999999999,0.063,0.03,0.005
85,Folsom-Cordova Unified,1617.0,460.0,0.887,0.75,1645.0,558.0,0.9623999999999999,0.9176000000000001,0.7239,0.008995999999999999,0.2844774273345702,0.339209726443769,1.13,11775.0,88346.0,0.047,0.003,0.183,0.023,0.22699999999999998,0.008,0.41600000000000004,0.092,0.002
86,Morongo Unified,565.0,102.0,0.8234999999999999,0.4608,537.0,86.0,0.9301999999999999,0.6163000000000001,0.4608,0.006047,0.18053097345132743,0.1601489757914339,54.3,13105.0,42323.0,0.085,0.01,0.017,0.02,0.35,0.012,0.5,0.0,0.006999999999999999
87,Lucerne Valley Unified,506.0,26.0,0.6537999999999999,0.3077,721.0,24.0,0.8332999999999999,0.625,0.2692,0.00625,0.05138339920948617,0.033287101248266296,47.31,16528.0,30376.0,0.071,0.004,0.027000000000000003,0.012,0.447,0.002,0.342,0.064,0.031
89,Manteca Unified,1925.0,529.0,0.7221,0.3837,1923.0,353.0,0.813,0.6034,0.3667,0.005778999999999999,0.27480519480519483,0.18356734269370775,18.79,12178.0,73257.0,0.059000000000000004,0.004,0.09699999999999999,0.052000000000000005,0.5710000000000001,0.01,0.168,0.038,0.0
90,Lucia Mar Unified,865.0,202.0,0.8713,0.599,809.0,284.0,0.8626999999999999,0.7182999999999999,0.5941,0.0067610000000000005,0.23352601156069364,0.3510506798516687,14.01,11770.0,78837.0,0.006,0.004,0.013999999999999999,0.011000000000000001,0.47700000000000004,0.001,0.435,0.042,0.01
92,South San Francisco Unified,682.0,236.0,0.8305,0.6653,671.0,125.0,0.872,0.736,0.6397999999999999,0.00728,0.3460410557184751,0.18628912071535023,32.51,13184.0,106209.0,0.011000000000000001,0.002,0.142,0.22699999999999998,0.47600000000000003,0.018000000000000002,0.064,0.06,0.001
94,Anderson Union High,444.0,76.0,0.7368000000000001,0.43420000000000003,425.0,74.0,0.8243,0.6486,0.3947,0.006081,0.17117117117117117,0.17411764705882352,39.02,12566.0,56332.0,0.008,0.057,0.034,0.002,0.195,0.001,0.654,0.034,0.015
95,Vacaville Unified,975.0,351.0,0.7835,0.5726,1139.0,307.0,0.8697,0.7264,0.5356000000000001,0.007036,0.36,0.26953467954345917,7.69,11479.0,84968.0,0.057999999999999996,0.004,0.027999999999999997,0.035,0.39,0.006,0.385,0.09,0.005
97,Roseland,147.0,49.0,0.5306000000000001,0.3469,173.0,101.0,0.703,0.43560000000000004,0.3265,0.004059,0.3333333333333333,0.5838150289017341,45.44,24306.0,60140.0,0.006,0.005,0.01,0.002,0.941,0.0,0.024,0.01,0.002
98,Windsor Unified,466.0,140.0,0.8643000000000001,0.5643,464.0,153.0,0.915,0.6667000000000001,0.5357,0.006404999999999999,0.30042918454935624,0.3297413793103448,25.15,12148.0,105938.0,0.006,0.006999999999999999,0.016,0.004,0.551,0.003,0.377,0.035,0.001
99,Oakdale Joint Unified,437.0,92.0,0.7826000000000001,0.7391,426.0,117.0,0.9231,0.7179000000000001,0.6522,0.0070090000000000005,0.21052631578947367,0.2746478873239437,26.58,11208.0,72342.0,0.005,0.006,0.01,0.005,0.389,0.002,0.5479999999999999,0.033,0.001
100,Turlock Unified,1240.0,393.0,0.7608,0.4758,1244.0,297.0,0.8586,0.6734,0.45289999999999997,0.006531999999999999,0.31693548387096776,0.2387459807073955,37.52,12863.0,55962.0,0.02,0.006,0.055999999999999994,0.001,0.5920000000000001,0.005,0.294,0.013000000000000001,0.013000000000000001
105,Castro Valley Unified,737.0,311.0,0.8970999999999999,0.7814,759.0,350.0,0.9343,0.8629000000000001,0.7524,0.008371,0.42198100407055633,0.461133069828722,34.46,11860.0,114277.0,0.049,0.001,0.295,0.046,0.23399999999999999,0.004,0.243,0.1,0.027999999999999997
108,San Ramon Valley Unified,2652.0,933.0,0.9561,0.8532,2699.0,1552.0,0.9762000000000001,0.9381,0.8414,0.009290999999999999,0.35180995475113125,0.5750277880696554,108.78,11378.0,171717.0,0.017,0.003,0.40299999999999997,0.037000000000000005,0.08900000000000001,0.002,0.364,0.084,0.0
109,Sanger Unified,850.0,335.0,0.6239,0.3761,813.0,223.0,0.7354,0.6233,0.34630000000000005,0.005516,0.3941176470588235,0.2742927429274293,21.93,12337.0,70134.0,0.011000000000000001,0.002,0.12,0.004,0.695,0.002,0.12300000000000001,0.027000000000000003,0.017
111,Bellflower Unified,953.0,263.0,0.7870999999999999,0.5246999999999999,955.0,211.0,0.8389,0.6825,0.4943,0.006445000000000001,0.2759706190975866,0.22094240837696336,20.42,13391.0,65982.0,0.125,0.004,0.038,0.044000000000000004,0.662,0.01,0.083,0.028999999999999998,0.006
112,West Covina Unified,1194.0,356.0,0.7809,0.5196999999999999,1153.0,279.0,0.8602,0.6774,0.4803,0.006416,0.2981574539363484,0.2419774501300954,17.01,14780.0,86748.0,0.078,0.004,0.09,0.033,0.6709999999999999,0.004,0.10300000000000001,0.016,0.002
