,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
631,Placentia-Yorba Linda Unified,13.79,11385,101349,0.012,0.002,0.172,0.024,0.442,0.002,0.307,0.039,0.0
632,Placer Hills Union Elementary,5.95,10567,90825,0.001,0.013999999999999999,0.003,0.001,0.07,0.0,0.862,0.036000000000000004,0.013000000000000001
633,Placer Union High,3.76,12944,80554,0.006999999999999999,0.008,0.013999999999999999,0.006,0.15,0.001,0.7509999999999999,0.049,0.013000000000000001
634,Placerville Union Elementary,42.43,10953,61880,0.002,0.008,0.004,0.001,0.29600000000000004,0.0,0.616,0.07,0.003
635,Plainsburg Union Elementary,68.73,11045,41944,0.0,0.0,0.028999999999999998,0.0,0.433,0.019,0.519,0.0,0.0
636,Planada Elementary,48.48,14174,41285,0.016,0.001,0.006,0.0,0.9640000000000001,0.002,0.011000000000000001,0.0,0.0
637,Plaza Elementary,58.31,8729,61250,0.0,0.011000000000000001,0.005,0.0,0.39,0.0,0.5379999999999999,0.044000000000000004,0.011000000000000001
638,Pleasant Grove Joint Union,38.24,10731,66094,0.013000000000000001,0.0,0.019,0.0,0.18899999999999997,0.025,0.755,0.0,0.0
639,Pleasant Ridge Union Elementary,21.54,11061,76804,0.002,0.003,0.006,0.002,0.13,0.001,0.562,0.059000000000000004,0.23600000000000002
640,Pleasant Valley,3.11,10729,96721,0.036000000000000004,0.004,0.055,0.036000000000000004,0.41700000000000004,0.003,0.381,0.061,0.006999999999999999
641,Pleasant Valley Joint Union Elementary,37.23,19074,80238,0.0,0.052000000000000005,0.034,0.0,0.24100000000000002,0.0,0.603,0.034,0.034
642,Pleasant View Elementary,58.01,14270,33750,0.0,0.009000000000000001,0.0,0.059000000000000004,0.895,0.0,0.036000000000000004,0.0,0.0
643,Pleasanton Unified,92.66,12065,156342,0.013999999999999999,0.001,0.475,0.018000000000000002,0.1,0.002,0.33,0.055,0.006
644,Plumas Lake Elementary,10.68,10599,102979,0.035,0.004,0.055999999999999994,0.013999999999999999,0.29600000000000004,0.004,0.48200000000000004,0.105,0.004
645,Plumas Unified,19.63,15511,55955,0.01,0.037000000000000005,0.005,0.002,0.171,0.0,0.68,0.077,0.018000000000000002
646,Pollock Pines Elementary,12.67,12522,76066,0.009000000000000001,0.021,0.005,0.003,0.168,0.002,0.731,0.062,0.0
647,Pomona Unified,10.84,15089,64578,0.04,0.002,0.036000000000000004,0.01,0.865,0.002,0.028999999999999998,0.009000000000000001,0.006999999999999999
648,Pond Union Elementary,49.76,15015,36125,0.0,0.0,0.012,0.006,0.9390000000000001,0.0,0.024,0.012,0.006
649,Pope Valley Union Elementary,95.82,32340,57250,0.0,0.0,0.0,0.0,0.7,0.0,0.26,0.04,0.0
650,Porterville Unified,55.27,13584,39205,0.003,0.021,0.013999999999999999,0.008,0.825,0.004,0.107,0.01,0.008
651,Portola Valley Elementary,312.91,27751,240956,0.002,0.002,0.063,0.0,0.138,0.0,0.662,0.13,0.002
652,Potter Valley Community Unified,6.11,17008,58478,0.0,0.044000000000000004,0.0,0.0,0.36200000000000004,0.0,0.5539999999999999,0.040999999999999995,0.0
653,Poway Unified,41.41,12266,117394,0.017,0.001,0.22699999999999998,0.059000000000000004,0.17300000000000001,0.002,0.406,0.113,0.001
654,Princeton Joint Unified,2.84,17143,64432,0.0,0.035,0.0,0.0,0.574,0.0,0.355,0.035,0.0
655,Ramona City Unified,9.03,11309,98201,0.006999999999999999,0.005,0.005,0.003,0.41,0.002,0.508,0.059000000000000004,0.0
656,Rancho Santa Fe Elementary,161.67,22025,157617,0.005,0.002,0.071,0.004,0.10800000000000001,0.0,0.735,0.075,0.0
657,Ravendale-Termo Elementary,60.29,31778,33750,0.0,0.083,0.0,0.0,0.16699999999999998,0.0,0.583,0.16699999999999998,0.0
658,Ravenswood City Elementary,15.22,18622,66201,0.053,0.002,0.003,0.002,0.836,0.075,0.011000000000000001,0.015,0.003
659,Raymond-Knowles Union Elementary,27.62,14395,55625,0.0,0.07,0.0,0.0,0.239,0.0,0.634,0.055999999999999994,0.0
