,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
291,General Shafter Elementary,3.5,18252,59375,0.0,0.0,0.0,0.0,0.809,0.0,0.191,0.0,0.0
292,Gerber Union Elementary,45.12,13902,45134,0.008,0.026000000000000002,0.005,0.0,0.696,0.0,0.23800000000000002,0.024,0.003
293,Geyserville Unified,66.53,19039,102109,0.005,0.0,0.005,0.0,0.636,0.0,0.316,0.038,0.0
294,Gilroy Unified,24.01,12490,103388,0.013999999999999999,0.004,0.042,0.027999999999999997,0.708,0.002,0.14800000000000002,0.031,0.023
295,Glendale Unified,22.17,12505,69114,0.011000000000000001,0.001,0.113,0.045,0.2,0.001,0.593,0.035,0.0
296,Glendora Unified,8.67,11441,97274,0.012,0.002,0.10400000000000001,0.023,0.456,0.001,0.34600000000000003,0.055,0.0
297,Gold Oak Union Elementary,20.31,10707,79487,0.006999999999999999,0.006999999999999999,0.002,0.002,0.129,0.002,0.807,0.040999999999999995,0.002
298,Gold Trail Union Elementary,2.58,10796,95995,0.006999999999999999,0.012,0.005,0.0,0.11599999999999999,0.008,0.833,0.012,0.006999999999999999
299,Golden Feather Union Elementary,57.77,27574,52917,0.016,0.0,0.0,0.0,0.161,0.0,0.79,0.032,0.0
300,Golden Plains Unified,36.14,16317,39702,0.006999999999999999,0.001,0.005,0.0,0.973,0.0,0.001,0.0,0.013000000000000001
301,Golden Valley Unified,13.44,11241,81907,0.013999999999999999,0.01,0.037000000000000005,0.003,0.46399999999999997,0.0,0.441,0.025,0.004
302,Goleta Union Elementary,22.77,16461,82599,0.006,0.001,0.05,0.009000000000000001,0.466,0.001,0.363,0.073,0.032
303,Gonzales Unified,15.46,14013,66543,0.002,0.004,0.0,0.004,0.9740000000000001,0.001,0.013000000000000001,0.002,0.0
304,Gorman Joint,16.72,15585,82500,0.078,0.005,0.022000000000000002,0.013999999999999999,0.42700000000000005,0.002,0.355,0.07,0.027999999999999997
305,Grant Elementary,19.82,11647,104500,0.0,0.011000000000000001,0.03,0.0,0.10300000000000001,0.002,0.758,0.095,0.002
306,Grass Valley Elementary,43.98,12863,51177,0.005,0.015,0.012,0.005,0.18100000000000002,0.004,0.7490000000000001,0.03,0.001
307,Gravenstein Union Elementary,10.49,11545,98106,0.006999999999999999,0.004,0.037000000000000005,0.001,0.221,0.006999999999999999,0.596,0.115,0.013000000000000001
308,Graves Elementary,0.28,11071,92500,0.0,0.0,0.025,0.0,0.75,0.0,0.2,0.025,0.0
309,Green Point Elementary,14.91,16526,54375,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0
310,Greenfield Union,53.64,11854,49068,0.06,0.002,0.018000000000000002,0.004,0.8540000000000001,0.001,0.05,0.01,0.001
311,Greenfield Union Elementary,26.91,13526,60496,0.002,0.001,0.0,0.002,0.9840000000000001,0.001,0.009000000000000001,0.0,0.001
312,Grenada Elementary,46.6,11960,53750,0.02,0.049,0.005,0.0,0.127,0.0,0.716,0.078,0.005
313,Gridley Unified,42.64,12109,55942,0.005,0.002,0.025,0.0,0.5760000000000001,0.001,0.34,0.01,0.039
314,Grossmont Union High,4.98,14539,71670,0.062,0.008,0.023,0.017,0.402,0.006999999999999999,0.423,0.054000000000000006,0.004
315,Guadalupe Union Elementary,38.18,13783,50864,0.004,0.006,0.002,0.003,0.9570000000000001,0.001,0.022000000000000002,0.006,0.0
316,Guerneville Elementary,22.42,20614,61563,0.048,0.024,0.011000000000000001,0.002,0.263,0.0,0.561,0.061,0.03
317,Gustine Unified,30.73,12810,61250,0.005,0.004,0.006,0.004,0.853,0.001,0.10400000000000001,0.013999999999999999,0.01
319,Hamilton Unified,48.56,12535,49423,0.001,0.004,0.01,0.0,0.8690000000000001,0.0,0.076,0.006,0.034
320,Hanford Elementary,40.36,12023,58056,0.047,0.005,0.008,0.006999999999999999,0.764,0.001,0.136,0.03,0.001
321,Hanford Joint Union High,30.9,12744,61455,0.033,0.004,0.013000000000000001,0.015,0.6940000000000001,0.002,0.204,0.03,0.005
322,Happy Camp Union Elementary,49.46,15109,35884,0.0,0.474,0.0,0.0,0.052000000000000005,0.01,0.247,0.21600000000000003,0.0
323,Happy Valley Elementary,108.05,13463,160750,0.0,0.01,0.019,0.01,0.095,0.0,0.6759999999999999,0.171,0.019
324,Happy Valley Union Elementary,24.5,13391,62955,0.015,0.055999999999999994,0.083,0.0,0.182,0.009000000000000001,0.596,0.006,0.053
325,Harmony Union Elementary,36.63,19871,75806,0.015,0.003,0.011000000000000001,0.015,0.272,0.0,0.564,0.11199999999999999,0.008
326,Hart-Ransom Union Elementary,10.52,9945,90550,0.013000000000000001,0.002,0.039,0.026000000000000002,0.465,0.002,0.41100000000000003,0.026000000000000002,0.017
327,Hawthorne,42.17,13250,50580,0.201,0.004,0.023,0.013999999999999999,0.716,0.011000000000000001,0.021,0.006,0.004
328,Hayward Unified,14.72,14523,86336,0.078,0.002,0.084,0.07,0.647,0.032,0.045,0.04,0.004
329,Healdsburg Unified,52.57,18117,96381,0.004,0.009000000000000001,0.009000000000000001,0.002,0.632,0.002,0.335,0.008,0.0
330,Heber Elementary,45.93,13405,47021,0.001,0.0,0.0,0.001,0.985,0.0,0.013000000000000001,0.0,0.001
331,Helendale Elementary,25.82,11793,69976,0.049,0.004,0.036000000000000004,0.013000000000000001,0.43700000000000006,0.003,0.386,0.065,0.006999999999999999
332,Hemet Unified,37.2,14843,46293,0.086,0.008,0.01,0.009000000000000001,0.632,0.003,0.21100000000000002,0.040999999999999995,0.0
333,Hermosa Beach City Elementary,54.42,10331,136702,0.013999999999999999,0.004,0.057,0.002,0.128,0.005,0.6709999999999999,0.11800000000000001,0.002
334,Hesperia Unified,38.91,12694,55778,0.07200000000000001,0.003,0.01,0.004,0.703,0.003,0.18899999999999997,0.015,0.001
335,Hillsborough City Elementary,291.81,22821,250000,0.005,0.0,0.32299999999999995,0.019,0.049,0.003,0.483,0.11800000000000001,0.0
336,Hilmar Unified,33.48,12340,61569,0.003,0.006999999999999999,0.006999999999999999,0.001,0.444,0.001,0.526,0.008,0.002
337,Hollister,3.98,12149,84369,0.005,0.003,0.016,0.005,0.826,0.003,0.11699999999999999,0.009000000000000001,0.017
338,Holtville Unified,39.27,13842,49766,0.002,0.001,0.0,0.001,0.868,0.001,0.11699999999999999,0.009000000000000001,0.001
341,Horicon Elementary,98.43,28232,79732,0.0,0.0,0.0,0.0,0.593,0.0,0.35600000000000004,0.051,0.0
342,Hornbrook Elementary,19.98,23533,45156,0.0,0.059000000000000004,0.039,0.0,0.078,0.0,0.627,0.196,0.0
343,Hot Springs Elementary,55.21,17316,20583,0.0,0.0,0.0,0.0,0.25,0.0,0.65,0.05,0.05
344,Howell Mountain Elementary,66.47,21543,89531,0.0,0.0,0.011000000000000001,0.0,0.534,0.0,0.42,0.0,0.034
345,Hueneme Elementary,26.8,12577,65326,0.011000000000000001,0.005,0.005,0.027000000000000003,0.8390000000000001,0.003,0.08900000000000001,0.02,0.0
346,Hughes-Elizabeth Lakes Union Elementary,24.23,10342,78415,0.011000000000000001,0.0,0.0,0.0,0.281,0.0,0.685,0.022000000000000002,0.0
347,Hughson Unified,12.32,11596,80960,0.004,0.005,0.012,0.0,0.552,0.003,0.418,0.003,0.003
348,Huntington Beach City Elementary,1.77,10456,97092,0.004,0.002,0.111,0.008,0.19899999999999998,0.003,0.546,0.10800000000000001,0.02
349,Huntington Beach Union High,5.65,12816,88159,0.009000000000000001,0.003,0.28,0.013000000000000001,0.289,0.004,0.349,0.045,0.008
350,Hydesville Elementary,55.05,10543,54583,0.011000000000000001,0.0,0.0,0.0,0.12,0.0,0.754,0.114,0.0
352,Imperial Unified,9.61,11762,82136,0.01,0.0,0.006999999999999999,0.008,0.866,0.0,0.096,0.006999999999999999,0.006
353,Indian Diggings Elementary,34.78,16833,38125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
354,Indian Springs Elementary,127.95,43467,25375,0.0,0.0,0.0,0.0,0.42100000000000004,0.0,0.526,0.053,0.0
355,Inglewood Unified,24.69,14601,56766,0.376,0.006,0.005,0.002,0.589,0.005,0.005,0.008,0.005
356,Irvine Unified,21.74,11451,106905,0.019,0.001,0.48100000000000004,0.027999999999999997,0.11699999999999999,0.002,0.256,0.09,0.005
357,Jamestown Elementary,43.43,12320,54300,0.009000000000000001,0.028999999999999998,0.006,0.0,0.282,0.012,0.588,0.040999999999999995,0.032
358,Jamul-Dulzura Union Elementary,18.53,11824,102663,0.036000000000000004,0.003,0.011000000000000001,0.001,0.5670000000000001,0.001,0.327,0.042,0.011000000000000001
359,Janesville Union Elementary,9.17,10014,91205,0.0,0.023,0.008,0.005,0.14,0.0,0.7490000000000001,0.073,0.003
363,Jefferson Union High,30.15,13761,101575,0.013000000000000001,0.001,0.149,0.289,0.314,0.01,0.141,0.075,0.008
364,John Swett Unified,1.61,12782,82956,0.146,0.006,0.1,0.106,0.37,0.003,0.152,0.107,0.008
365,Johnstonville Elementary,24.6,10381,77946,0.0,0.017,0.011000000000000001,0.006,0.23600000000000002,0.0,0.691,0.039,0.0
366,Julian Union Elementary,1.71,18521,56700,0.031,0.013000000000000001,0.018000000000000002,0.006999999999999999,0.405,0.002,0.451,0.068,0.004
367,Julian Union High,66.46,27981,57317,0.0,0.057,0.009000000000000001,0.0,0.358,0.0,0.509,0.057,0.009000000000000001
368,Junction City Elementary,10.57,17317,53629,0.0,0.027999999999999997,0.0,0.0,0.099,0.0,0.7040000000000001,0.141,0.027999999999999997
371,Jurupa Unified,18.66,12873,69873,0.02,0.001,0.013000000000000001,0.005,0.865,0.002,0.073,0.008,0.012
372,Kashia Elementary,43.13,22867,65625,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373,Kelseyville Unified,30.03,14408,53778,0.006,0.026000000000000002,0.001,0.005,0.441,0.0,0.457,0.061,0.003
374,Kentfield Elementary,101.25,15935,143347,0.008,0.0,0.036000000000000004,0.006,0.154,0.0,0.64,0.128,0.027999999999999997
375,Kenwood,43.59,21413,73245,0.0,0.0,0.008,0.0,0.145,0.0,0.695,0.099,0.053
376,Keppel Union Elementary,43.0,13163,50400,0.037000000000000005,0.002,0.006,0.002,0.7979999999999999,0.001,0.13699999999999998,0.016,0.002
377,Kerman Unified,55.23,11744,48445,0.005,0.004,0.044000000000000004,0.0,0.872,0.0,0.071,0.004,0.0
378,Kern High,31.89,14008,54398,0.055999999999999994,0.006,0.028999999999999998,0.012,0.69,0.003,0.185,0.011000000000000001,0.008
379,Kernville Union Elementary,61.07,14255,31554,0.011000000000000001,0.025,0.006999999999999999,0.005,0.23600000000000002,0.0,0.6970000000000001,0.017,0.001
380,Keyes Union,28.96,13197,60625,0.005,0.008,0.048,0.001,0.66,0.001,0.263,0.008,0.006
381,King City Union,44.35,12083,54804,0.001,0.001,0.009000000000000001,0.006,0.9440000000000001,0.0,0.032,0.004,0.002
382,Kings Canyon Joint Unified,49.5,13273,45038,0.002,0.003,0.006,0.005,0.8909999999999999,0.0,0.08199999999999999,0.01,0.0
383,Kings River Union Elementary,40.24,13838,49063,0.0,0.0,0.0,0.0,0.9420000000000001,0.0,0.055,0.003,0.0
384,Kingsburg Joint Union High,25.81,12350,67198,0.001,0.003,0.024,0.002,0.618,0.0,0.33399999999999996,0.018000000000000002,0.0
385,Kirkwood Elementary,24.95,12042,69375,0.0,0.0,0.0,0.0,0.26,0.01,0.71,0.02,0.0
386,Kit Carson Union Elementary,41.22,12293,56071,0.019,0.008,0.002,0.003,0.752,0.004,0.18,0.023,0.008
387,Klamath River Union Elementary,26.4,20750,24732,0.0,0.1,0.0,0.0,0.2,0.0,0.6,0.1,0.0
388,Klamath-Trinity Joint Unified,7.59,20560,39613,0.005,0.777,0.0,0.0,0.067,0.005,0.113,0.025,0.008
389,Kneeland Elementary,107.75,30308,76250,0.0,0.0,0.0,0.0,0.038,0.0,0.9229999999999999,0.038,0.0
390,Knights Ferry Elementary,62.27,9516,54375,0.006999999999999999,0.0,0.0,0.0,0.132,0.0,0.639,0.013999999999999999,0.20800000000000002
391,Knightsen Elementary,36.07,10386,122844,0.013000000000000001,0.003,0.012,0.015,0.39,0.005,0.456,0.061,0.046
392,Konocti Unified,64.03,13008,35601,0.024,0.026000000000000002,0.003,0.002,0.48700000000000004,0.0,0.375,0.07,0.011000000000000001
393,La Canada Unified,133.01,12010,186500,0.006,0.001,0.305,0.02,0.115,0.0,0.446,0.10400000000000001,0.005
394,La Habra City Elementary,3.99,13455,77824,0.006999999999999999,0.001,0.019,0.013000000000000001,0.879,0.0,0.061,0.012,0.006999999999999999
395,La Honda-Pescadero Unified,152.11,22367,148826,0.0,0.004,0.0,0.006999999999999999,0.629,0.0,0.345,0.015,0.0
396,La Mesa-Spring Valley,19.85,12472,70997,0.079,0.002,0.025,0.024,0.505,0.005,0.278,0.08199999999999999,0.0
397,Lafayette Elementary,121.16,12171,176919,0.006999999999999999,0.0,0.111,0.011000000000000001,0.092,0.001,0.615,0.125,0.038
398,Laguna Beach Unified,115.79,20919,129175,0.009000000000000001,0.002,0.049,0.01,0.12,0.0,0.715,0.08199999999999999,0.013999999999999999
399,Laguna Joint Elementary,77.1,21857,95833,0.0,0.0,0.0,0.0,0.5,0.0,0.071,0.071,0.35700000000000004
400,Lagunita Elementary,6.14,10287,92083,0.0,0.0,0.0,0.0,0.511,0.011000000000000001,0.35100000000000003,0.096,0.032
401,Lagunitas Elementary,55.22,18199,97935,0.009000000000000001,0.0,0.013000000000000001,0.0,0.109,0.0,0.755,0.105,0.009000000000000001
402,Lake Elementary,56.6,9762,57344,0.009000000000000001,0.016,0.011000000000000001,0.002,0.166,0.002,0.728,0.055,0.011000000000000001
403,Lake Elsinore Unified,12.08,13176,73231,0.039,0.003,0.018000000000000002,0.015,0.633,0.003,0.239,0.047,0.003
404,Lake Tahoe Unified,33.54,13165,57396,0.004,0.003,0.013000000000000001,0.032,0.445,0.002,0.462,0.032,0.008
405,Lakeport Unified,42.94,13271,49902,0.013999999999999999,0.107,0.019,0.009000000000000001,0.353,0.001,0.43200000000000005,0.048,0.017
406,Lakeside Joint,251.65,31423,177222,0.0,0.0,0.16699999999999998,0.015,0.091,0.0,0.5760000000000001,0.121,0.03
407,Lakeside Union,29.65,10364,74286,0.053,0.004,0.054000000000000006,0.012,0.643,0.001,0.171,0.036000000000000004,0.026000000000000002
410,Lamont Elementary,49.59,13702,42821,0.001,0.0,0.003,0.0,0.9890000000000001,0.0,0.006999999999999999,0.0,0.0
411,Lancaster Elementary,47.53,12465,50536,0.28300000000000003,0.005,0.008,0.012,0.544,0.002,0.098,0.047,0.002
412,Larkspur-Corte Madera,81.49,14398,136406,0.003,0.002,0.055999999999999994,0.003,0.13,0.002,0.721,0.08,0.002
413,Las Lomitas Elementary,218.46,23590,191836,0.009000000000000001,0.002,0.183,0.005,0.131,0.002,0.532,0.136,0.0
414,Las Virgenes Unified,55.45,11420,132023,0.019,0.005,0.064,0.009000000000000001,0.127,0.001,0.7070000000000001,0.057,0.011000000000000001
415,Lassen Union High,30.98,12816,61034,0.012,0.044000000000000004,0.006999999999999999,0.006999999999999999,0.20800000000000002,0.017,0.618,0.071,0.016
416,Lassen View Union Elementary,49.95,10597,58092,0.003,0.008,0.0,0.0,0.20600000000000002,0.0,0.772,0.011000000000000001,0.0
417,Laton Joint Unified,36.23,15518,43627,0.019,0.0,0.0,0.0,0.85,0.0,0.1,0.0,0.032
418,Latrobe,80.64,15648,129516,0.0,0.02,0.02,0.006999999999999999,0.122,0.0,0.716,0.095,0.02
419,Lawndale Elementary,4.3,16218,63773,0.099,0.0,0.047,0.006999999999999999,0.763,0.006999999999999999,0.044000000000000004,0.017,0.016
420,Laytonville Unified,28.37,17117,41450,0.0,0.111,0.008,0.008,0.214,0.0,0.547,0.092,0.019
421,Le Grand Union Elementary,30.09,15404,48750,0.011000000000000001,0.0,0.011000000000000001,0.0,0.867,0.0,0.091,0.006,0.013999999999999999
422,Le Grand Union High,36.75,15548,43096,0.004,0.002,0.0,0.002,0.94,0.0,0.045,0.002,0.006
423,Leggett Valley Unified,20.55,22063,22500,0.0,0.037000000000000005,0.0,0.006999999999999999,0.24600000000000002,0.006999999999999999,0.649,0.052000000000000005,0.0
424,Lemon Grove,22.67,13471,63911,0.155,0.006999999999999999,0.053,0.011000000000000001,0.626,0.011000000000000001,0.085,0.051,0.0
425,Lemoore Union Elementary,33.93,11566,65107,0.035,0.013000000000000001,0.011000000000000001,0.037000000000000005,0.6509999999999999,0.003,0.2,0.05,0.0
426,Lemoore Union High,31.93,12518,61824,0.039,0.027000000000000003,0.009000000000000001,0.039,0.589,0.006,0.237,0.054000000000000006,0.0
427,Lennox,31.31,14978,49978,0.01,0.001,0.003,0.001,0.943,0.002,0.005,0.0,0.035
428,Lewiston Elementary,18.82,18593,41136,0.013999999999999999,0.042,0.055999999999999994,0.0,0.055999999999999994,0.0,0.75,0.042,0.042
431,Liberty Union High,29.63,12113,109430,0.086,0.006,0.049,0.055999999999999994,0.368,0.006999999999999999,0.37200000000000005,0.048,0.008
432,Lincoln Elementary,502.26,85750,91000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
433,Lincoln Unified,30.93,11860,65858,0.113,0.004,0.099,0.03,0.503,0.008,0.191,0.049,0.002
434,Linden Unified,24.39,12259,68706,0.004,0.011000000000000001,0.015,0.003,0.639,0.005,0.309,0.013000000000000001,0.0
435,Lindsay Unified,33.46,17927,33626,0.002,0.002,0.009000000000000001,0.0,0.948,0.001,0.03,0.001,0.006
436,Linns Valley-Poso Flat Union,67.21,30526,45139,0.0,0.067,0.0,0.0,0.2,0.0,0.733,0.0,0.0
437,Little Lake City Elementary,12.69,12723,75046,0.013999999999999999,0.001,0.02,0.016,0.898,0.002,0.036000000000000004,0.011000000000000001,0.002
438,Little Shasta Elementary,21.11,18190,41458,0.0,0.0,0.0,0.0,0.375,0.0,0.625,0.0,0.0
439,Live Oak Elementary,6.97,13933,73229,0.022000000000000002,0.011000000000000001,0.026000000000000002,0.013000000000000001,0.5720000000000001,0.002,0.317,0.017,0.019
440,Live Oak Unified,38.89,12518,56667,0.008,0.009000000000000001,0.109,0.002,0.589,0.004,0.268,0.011000000000000001,0.0
441,Livermore Valley Joint Unified,55.38,12373,127200,0.012,0.004,0.10300000000000001,0.028999999999999998,0.32,0.003,0.441,0.086,0.002
442,Livingston Union,36.88,13071,55392,0.006999999999999999,0.006999999999999999,0.11699999999999999,0.008,0.823,0.002,0.03,0.002,0.003
443,Lodi Unified,22.05,12898,67240,0.067,0.004,0.18,0.035,0.465,0.006999999999999999,0.187,0.03,0.024
444,Loleta Union Elementary,22.89,15358,54306,0.031,0.35100000000000003,0.01,0.0,0.361,0.0,0.196,0.040999999999999995,0.01
445,Loma Prieta Joint Union Elementary,113.88,15225,156250,0.005,0.0,0.028999999999999998,0.005,0.122,0.0,0.7070000000000001,0.12,0.011000000000000001
446,Lompoc Unified,31.11,12456,62740,0.022000000000000002,0.005,0.016,0.013000000000000001,0.688,0.002,0.207,0.046,0.001
447,Lone Pine Unified,18.57,17442,47083,0.012,0.111,0.015,0.003,0.565,0.0,0.207,0.086,0.0
448,Long Beach Unified,22.05,13175,65851,0.126,0.002,0.07400000000000001,0.032,0.5820000000000001,0.012,0.125,0.043,0.005
449,Loomis Union Elementary,11.45,9833,107379,0.004,0.006,0.025,0.006,0.11699999999999999,0.001,0.777,0.06,0.005
450,Los Alamitos Unified,4.91,11866,85092,0.025,0.001,0.14,0.027999999999999997,0.27699999999999997,0.006999999999999999,0.43,0.08800000000000001,0.005
451,Los Altos Elementary,193.6,15626,213273,0.006,0.001,0.348,0.006999999999999999,0.084,0.003,0.41100000000000003,0.127,0.012
452,Los Angeles Unified,10.41,15793,61375,0.076,0.002,0.036000000000000004,0.019,0.742,0.002,0.102,0.016,0.005
453,Los Banos Unified,35.68,11990,61691,0.015,0.003,0.009000000000000001,0.006999999999999999,0.8440000000000001,0.006,0.102,0.008,0.006
454,Los Gatos Union Elementary,143.45,14289,182830,0.006,0.004,0.221,0.009000000000000001,0.068,0.001,0.604,0.079,0.006999999999999999
455,Los Gatos-Saratoga Union High,166.66,17307,184917,0.002,0.001,0.32,0.004,0.078,0.002,0.46299999999999997,0.091,0.039
456,Los Molinos Unified,41.34,14423,45326,0.004,0.018000000000000002,0.011000000000000001,0.0,0.52,0.0,0.401,0.04,0.006999999999999999
457,Los Nietos,2.77,16034,65826,0.012,0.001,0.008,0.003,0.9620000000000001,0.001,0.012,0.001,0.0
458,Los Olivos Elementary,38.88,15399,99844,0.006,0.006,0.0,0.0,0.20600000000000002,0.0,0.6970000000000001,0.006,0.077
459,Lost Hills Union Elementary,28.97,18617,33500,0.0,0.0,0.0,0.0,0.9790000000000001,0.0,0.021,0.0,0.0
460,Lowell Joint,9.88,10051,90493,0.012,0.001,0.046,0.016,0.684,0.003,0.204,0.018000000000000002,0.016
461,Lucerne Elementary,49.44,13545,43722,0.022000000000000002,0.036000000000000004,0.0,0.0,0.29600000000000004,0.0,0.5770000000000001,0.069,0.0
462,Lucerne Valley Unified,47.31,16528,30376,0.071,0.004,0.027000000000000003,0.012,0.447,0.002,0.342,0.064,0.031
463,Lucia Mar Unified,14.01,11770,78837,0.006,0.004,0.013999999999999999,0.011000000000000001,0.47700000000000004,0.001,0.435,0.042,0.01
464,Luther Burbank,2.88,14430,73766,0.025,0.0,0.013000000000000001,0.021,0.9009999999999999,0.006,0.028999999999999998,0.002,0.002
465,Lynwood Unified,38.88,13451,52007,0.047,0.001,0.002,0.0,0.94,0.002,0.006,0.001,0.0
466,Madera Unified,43.45,13001,50878,0.013000000000000001,0.005,0.012,0.002,0.9059999999999999,0.0,0.051,0.006999999999999999,0.005
467,Magnolia Elementary,29.5,12834,62044,0.027999999999999997,0.004,0.109,0.03,0.7170000000000001,0.008,0.092,0.011000000000000001,0.001
468,Magnolia Union Elementary,62.47,10262,50500,0.006999999999999999,0.0,0.006999999999999999,0.015,0.507,0.0,0.46299999999999997,0.0,0.0
469,Mammoth Unified,28.89,12805,62639,0.002,0.002,0.009000000000000001,0.002,0.607,0.0,0.35600000000000004,0.022000000000000002,0.001
470,Manchester Union Elementary,40.75,25389,51250,0.0,0.0,0.0,0.0,0.721,0.0,0.27899999999999997,0.0,0.0
471,Manhattan Beach Unified,107.33,14901,153023,0.011000000000000001,0.001,0.10800000000000001,0.012,0.124,0.001,0.598,0.138,0.006
472,Manteca Unified,18.79,12178,73257,0.059000000000000004,0.004,0.09699999999999999,0.052000000000000005,0.5710000000000001,0.01,0.168,0.038,0.0
473,Manzanita Elementary,18.17,10290,83162,0.004,0.006999999999999999,0.051,0.0,0.41700000000000004,0.004,0.46399999999999997,0.054000000000000006,0.0
474,Maple Creek Elementary,442.84,86000,45750,0.091,0.182,0.0,0.0,0.091,0.0,0.273,0.364,0.0
475,Maple Elementary,48.58,9668,63750,0.006999999999999999,0.006999999999999999,0.0,0.0,0.691,0.0,0.295,0.0,0.0
476,Marcum-Illinois Union Elementary,19.04,14616,60875,0.021,0.005,0.02,0.006999999999999999,0.16699999999999998,0.004,0.616,0.078,0.083
477,Maricopa Unified,12.78,20036,38393,0.051,0.004,0.031,0.01,0.309,0.002,0.495,0.075,0.022000000000000002
478,Mariposa County Unified,41.92,13686,48586,0.005,0.039,0.009000000000000001,0.006,0.22,0.0,0.638,0.068,0.016
479,Mark Twain Union Elementary,35.34,11131,66239,0.009000000000000001,0.019,0.003,0.003,0.254,0.003,0.652,0.057,0.001
480,Mark West Union Elementary,9.24,11610,83167,0.006,0.01,0.028999999999999998,0.011000000000000001,0.303,0.009000000000000001,0.575,0.055999999999999994,0.001
481,Martinez Unified,15.68,11803,100658,0.026000000000000002,0.002,0.035,0.03,0.31,0.004,0.462,0.11,0.02
482,Marysville Joint Unified,47.22,12248,51851,0.037000000000000005,0.018000000000000002,0.08800000000000001,0.005,0.452,0.003,0.34,0.046,0.01
483,Mattole Unified,91.18,35560,37708,0.0,0.022000000000000002,0.0,0.0,0.133,0.0,0.6890000000000001,0.133,0.022000000000000002
484,Maxwell Unified,32.77,13424,56667,0.015,0.018000000000000002,0.0,0.0,0.56,0.0,0.39399999999999996,0.0,0.012
491,Meadows Union Elementary,49.88,14715,37543,0.006999999999999999,0.0,0.0,0.0,0.904,0.005,0.07200000000000001,0.012,0.0
492,Mendocino Unified,30.42,21599,62563,0.019,0.006,0.021,0.002,0.166,0.002,0.742,0.04,0.002
493,Mendota Unified,72.64,12746,30542,0.001,0.0,0.006999999999999999,0.0,0.975,0.0,0.015,0.001,0.002
494,Menifee Union Elementary,30.93,10434,72993,0.059000000000000004,0.002,0.021,0.038,0.47,0.005,0.32799999999999996,0.066,0.011000000000000001
495,Menlo Park City Elementary,187.34,18728,193119,0.006999999999999999,0.0,0.135,0.006999999999999999,0.16699999999999998,0.012,0.552,0.114,0.006999999999999999
496,Merced City Elementary,49.26,12653,48316,0.047,0.004,0.09,0.006999999999999999,0.684,0.002,0.128,0.027999999999999997,0.011000000000000001
497,Merced River Union Elementary,45.02,11757,55938,0.032,0.005,0.005,0.0,0.5920000000000001,0.0,0.344,0.018000000000000002,0.005
498,Merced Union High,34.48,14146,51793,0.037000000000000005,0.005,0.078,0.008,0.706,0.003,0.146,0.009000000000000001,0.008
499,Meridian Elementary,37.81,22455,63750,0.158,0.018000000000000002,0.053,0.021,0.247,0.015,0.434,0.053,0.0
500,Mesa Union Elementary,79.14,10283,155250,0.017,0.001,0.033,0.017,0.5379999999999999,0.0,0.319,0.066,0.009000000000000001
501,Middletown Unified,31.71,11671,66223,0.006,0.011000000000000001,0.005,0.004,0.275,0.002,0.628,0.069,0.0
502,Midway Elementary,9.75,22050,45000,0.0,0.013999999999999999,0.0,0.0,0.19399999999999998,0.0,0.764,0.027999999999999997,0.0
503,Mill Valley Elementary,119.53,16270,155203,0.005,0.003,0.044000000000000004,0.003,0.086,0.002,0.7509999999999999,0.107,0.0
504,Millbrae Elementary,40.48,11437,120850,0.006999999999999999,0.001,0.462,0.064,0.19699999999999998,0.02,0.156,0.083,0.008
505,Miller Creek Elementary,45.24,13072,116192,0.013000000000000001,0.001,0.077,0.012,0.20199999999999999,0.003,0.5920000000000001,0.095,0.005
506,Millville Elementary,39.41,10297,67396,0.0,0.012,0.0,0.004,0.091,0.0,0.835,0.045,0.012
507,Milpitas Unified,61.17,12280,131954,0.017,0.003,0.529,0.149,0.19699999999999998,0.004,0.042,0.055999999999999994,0.002
508,Mission Union Elementary,52.37,11481,51875,0.0,0.0,0.024,0.008,0.805,0.0,0.146,0.016,0.0
509,Modoc Joint Unified,60.77,11378,46169,0.011000000000000001,0.07200000000000001,0.006999999999999999,0.006999999999999999,0.184,0.005,0.6629999999999999,0.042,0.006999999999999999
510,Mojave Unified,53.01,12854,44535,0.306,0.003,0.006999999999999999,0.002,0.47600000000000003,0.003,0.146,0.052000000000000005,0.003
511,Monroe Elementary,23.45,15867,51346,0.0,0.0,0.006999999999999999,0.0,0.9470000000000001,0.0,0.039,0.006999999999999999,0.0
512,Monrovia Unified,1.61,13518,79271,0.047,0.002,0.063,0.026000000000000002,0.645,0.001,0.174,0.043,0.0
513,Monson-Sultana Joint Union Elementary,55.82,12769,42875,0.0,0.0,0.0,0.0,0.953,0.0,0.043,0.005,0.0
514,Montague Elementary,55.02,11681,48911,0.0,0.027000000000000003,0.022000000000000002,0.0,0.121,0.0,0.08199999999999999,0.011000000000000001,0.736
515,Monte Rio Union Elementary,18.99,20690,58642,0.0,0.0,0.0,0.0,0.177,0.0,0.581,0.226,0.016
