,district,students_in_grade_12_20,sat_20_grade_12_takers,sat_20_grade_12_at_erwb_benchmark,sat_20_grade_12_at_math_benchmark,students_in_grade_11_20,sat_20_grade_11_takers,sat_20_grade_11_at_erwb_benchmark,sat_20_grade_11_at_math_benchmark,sat_20_grade_12_at_both_benchmarks,sat_20_grade_11_at_both_benchmarks,sat_20_g12_participation,sat_20_g11_Participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
118,Davis Joint Unified,737,292,0.9178000000000001,0.8595999999999999,751,286,0.9825,0.951,0.8288,0.9440999999999999,0.39620081411126185,0.3808255659121172,20.53,12987.0,67918.0,0.028999999999999998,0.004,0.155,0.01,0.22699999999999998,0.003,0.49,0.075,0.006
119,Fremont Unified,2608,801,0.9126000000000001,0.8227,2592,1084,0.9889,0.9815,0.799,0.9751000000000001,0.3071319018404908,0.4182098765432099,58.64,11629.0,133339.0,0.018000000000000002,0.003,0.6579999999999999,0.047,0.142,0.006,0.09,0.03,0.008
120,Piedmont City Unified,210,72,0.9582999999999999,0.9028,238,22,1.0,0.9545,0.9028,0.9545,0.34285714285714286,0.09243697478991597,222.24,17680.0,224205.0,0.015,0.0,0.133,0.008,0.096,0.0,0.564,0.183,0.001
121,San Leandro Unified,727,163,0.7239,0.3865,681,448,0.5647,0.3594,0.36810000000000004,0.33039999999999997,0.22420907840440166,0.657856093979442,6.72,12979.0,78181.0,0.11699999999999999,0.002,0.17,0.066,0.486,0.01,0.08,0.053,0.015
122,Fresno Unified,4948,1101,0.6175999999999999,0.3161,4916,65,0.9231,0.8308,0.3006,0.8,0.2225141471301536,0.01322213181448332,44.87,14625.0,41704.0,0.08,0.006,0.107,0.004,0.687,0.004,0.08800000000000001,0.025,0.0
125,Wasco Union High,405,303,0.3333,0.2079,431,75,0.76,0.56,0.1782,0.52,0.7481481481481481,0.1740139211136891,63.09,12441.0,39137.0,0.012,0.0,0.002,0.001,0.943,0.0,0.042,0.0,0.001
127,Lynwood Unified,1033,753,0.3161,0.10619999999999999,990,812,0.33130000000000004,0.1219,0.0956,0.10710000000000001,0.7289448209099709,0.8202020202020202,38.88,13451.0,52007.0,0.047,0.001,0.002,0.0,0.94,0.002,0.006,0.001,0.0
128,Whittier Union High,2932,1113,0.7026,0.4996,2800,260,0.65,0.45380000000000004,0.45640000000000003,0.4077,0.3796043656207367,0.09285714285714286,9.45,15862.0,75733.0,0.013000000000000001,0.002,0.013999999999999999,0.012,0.892,0.002,0.061,0.002,0.001
129,Rowland Unified,1152,353,0.7648999999999999,0.5949,1101,95,0.9684,0.9262999999999999,0.5496,0.9158,0.3064236111111111,0.08628519527702089,4.33,13586.0,76914.0,0.027000000000000003,0.001,0.201,0.067,0.6409999999999999,0.003,0.037000000000000005,0.016,0.006999999999999999
130,Tamalpais Union High,1232,385,0.9481,0.8338,1256,82,0.9634,0.9756,0.8234,0.9634,0.3125,0.06528662420382166,114.04,19565.0,134656.0,0.019,0.003,0.047,0.006,0.142,0.004,0.6990000000000001,0.043,0.037000000000000005
134,Chaffey Joint Union High,5973,2375,0.6897,0.45770000000000005,5960,223,0.9103,0.8341,0.4265,0.8161,0.39762263519169594,0.037416107382550336,6.2,13298.0,76972.0,0.07400000000000001,0.004,0.068,0.021,0.647,0.005,0.153,0.024,0.004
135,Apple Valley Unified,1014,245,0.7429000000000001,0.3347,1068,227,0.7841,0.4537,0.3306,0.41850000000000004,0.2416173570019724,0.21254681647940074,55.27,10396.0,55159.0,0.077,0.005,0.019,0.005,0.511,0.005,0.34700000000000003,0.032,0.0
136,Coronado Unified,289,138,0.9493,0.8623000000000001,280,33,0.9697,0.9697,0.8406,0.9394,0.47750865051903113,0.11785714285714285,41.4,13948.0,108967.0,0.01,0.003,0.013999999999999999,0.018000000000000002,0.22699999999999998,0.005,0.581,0.08199999999999999,0.06
137,Grossmont Union High,5396,1389,0.7963,0.6494,5160,113,0.9469,0.8673000000000001,0.6076,0.8495999999999999,0.25741289844329135,0.021899224806201552,4.98,14539.0,71670.0,0.062,0.008,0.023,0.017,0.402,0.006999999999999999,0.423,0.054000000000000006,0.004
139,Tracy Joint Unified,1643,473,0.797,0.6089,1511,41,0.878,0.7805,0.5729,0.7805,0.2878880097382836,0.027134348113831898,2.58,12026.0,89840.0,0.055,0.003,0.124,0.054000000000000006,0.5329999999999999,0.012,0.174,0.045,0.0
142,Milpitas Unified,842,301,0.8904000000000001,0.8206,836,176,0.9716,0.9659,0.7874,0.9489,0.35748218527315917,0.21052631578947367,61.17,12280.0,131954.0,0.017,0.003,0.529,0.149,0.19699999999999998,0.004,0.042,0.055999999999999994,0.002
143,Santa Cruz City High,837,244,0.8279000000000001,0.7008,881,57,0.9649,0.9649,0.6598,0.9473999999999999,0.2915173237753883,0.06469920544835414,46.82,287.0,111992.0,0.019,0.004,0.028999999999999998,0.008,0.385,0.002,0.512,0.04,0.0
148,Newark Unified,462,154,0.7662,0.5065,466,20,0.75,0.65,0.5065,0.55,0.3333333333333333,0.04291845493562232,44.09,12769.0,116856.0,0.028999999999999998,0.003,0.16699999999999998,0.09,0.521,0.018000000000000002,0.105,0.052000000000000005,0.016
149,Pleasanton Unified,1279,432,0.9420999999999999,0.8611,1275,451,0.9911,0.9823000000000001,0.8449,0.9734,0.3377638780297107,0.3537254901960784,92.66,12065.0,156342.0,0.013999999999999999,0.001,0.475,0.018000000000000002,0.1,0.002,0.33,0.055,0.006
158,Glendale Unified,2067,632,0.8829,0.7563,1948,196,0.9847,0.9592,0.731,0.9592,0.3057571359458152,0.10061601642710473,22.17,12505.0,69114.0,0.011000000000000001,0.001,0.113,0.045,0.2,0.001,0.593,0.035,0.0
159,Redondo Beach Unified,791,201,0.9104000000000001,0.7662,785,69,0.971,0.9565,0.7463,0.9420000000000001,0.25410872313527183,0.08789808917197452,28.28,11081.0,113596.0,0.031,0.003,0.107,0.018000000000000002,0.242,0.001,0.446,0.14800000000000002,0.004
164,Placentia-Yorba Linda Unified,2172,707,0.8698999999999999,0.7779,2073,266,0.9812000000000001,0.9699,0.7495999999999999,0.9549,0.3255064456721915,0.12831644958996624,13.79,11385.0,101349.0,0.012,0.002,0.172,0.024,0.442,0.002,0.307,0.039,0.0
165,Saddleback Valley Unified,2344,626,0.8946,0.7476,2278,364,0.956,0.9011,0.73,0.8845999999999999,0.26706484641638223,0.15978928884986832,15.39,11797.0,100470.0,0.012,0.001,0.087,0.035,0.373,0.002,0.40399999999999997,0.07400000000000001,0.012
166,Nuview Union,140,106,0.7170000000000001,0.4623,145,140,0.7356999999999999,0.4643,0.4057,0.4643,0.7571428571428571,0.9655172413793104,30.0,12193.0,64877.0,0.022000000000000002,0.001,0.008,0.006,0.807,0.003,0.138,0.015,0.0
172,Lincoln Unified,786,194,0.7887000000000001,0.6289,743,22,0.9545,0.9545,0.6031,0.9545,0.24681933842239187,0.029609690444145357,30.93,11860.0,65858.0,0.113,0.004,0.099,0.03,0.503,0.008,0.191,0.049,0.002
174,Jefferson Union High,1229,917,0.5845,0.4089,1203,83,0.8795000000000001,0.8072,0.37189999999999995,0.7711,0.7461350691619203,0.06899418121363259,30.15,13761.0,101575.0,0.013000000000000001,0.001,0.149,0.289,0.314,0.01,0.141,0.075,0.008
175,Sequoia Union High,2518,892,0.8184,0.6939,2579,277,0.9856,0.9711,0.6659,0.9675,0.35424940428911833,0.10740597130670802,112.2,19367.0,134282.0,0.024,0.003,0.08900000000000001,0.013999999999999999,0.452,0.02,0.35,0.046,0.001
177,Palo Alto Unified,1024,337,0.9555,0.9168999999999999,1048,378,1.0,0.9947,0.905,0.9947,0.3291015625,0.3606870229007634,160.36,23038.0,151578.0,0.017,0.001,0.375,0.009000000000000001,0.139,0.01,0.33899999999999997,0.11,0.0
181,Yuba City Unified,988,150,0.7867000000000001,0.6467,991,76,0.7895,0.7631999999999999,0.62,0.6711,0.15182186234817813,0.07669021190716448,32.6,13243.0,57703.0,0.017,0.006,0.198,0.005,0.46399999999999997,0.003,0.249,0.049,0.008
183,Woodland Joint Unified,749,162,0.716,0.41979999999999995,713,20,0.9,0.6,0.3951,0.6,0.2162883845126836,0.028050490883590462,23.57,12383.0,68687.0,0.013000000000000001,0.005,0.054000000000000006,0.006999999999999999,0.695,0.004,0.188,0.024,0.01
184,Acalanes Union High,1385,461,0.9675,0.8633,1438,261,0.9884999999999999,0.9579000000000001,0.8568000000000001,0.9501999999999999,0.3328519855595668,0.18150208623087621,77.56,15267.0,129146.0,0.016,0.002,0.14,0.022000000000000002,0.10300000000000001,0.001,0.637,0.07,0.009000000000000001
185,Pittsburg Unified,938,265,0.5925,0.35090000000000005,937,149,0.6644,0.44299999999999995,0.3396,0.41609999999999997,0.28251599147121537,0.15901814300960512,19.4,13431.0,66535.0,0.158,0.002,0.032,0.05,0.649,0.012,0.049,0.045,0.004
186,Kerman Unified,367,96,0.7188,0.2813,398,31,0.5484,0.1935,0.2708,0.1935,0.2615803814713896,0.07788944723618091,55.23,11744.0,48445.0,0.005,0.004,0.044000000000000004,0.0,0.872,0.0,0.071,0.004,0.0
