name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Madera County Superintendent of Schools,734,1.90%,0.50%,0.80%,0.00%,69.60%,0.00%,18.00%,1.80%,7.40%
Madera Unified,"20,908",1.30%,0.50%,1.20%,0.20%,90.60%,0.00%,5.10%,0.70%,0.50%
Raymond-Knowles Union Elementary,71,0.00%,7.00%,0.00%,0.00%,23.90%,0.00%,63.40%,5.60%,0.00%
Yosemite Unified,"1,680",0.50%,3.30%,2.00%,0.30%,21.10%,0.10%,65.80%,6.50%,0.40%
Bolinas-Stinson Union,84,2.40%,1.20%,0.00%,0.00%,23.80%,0.00%,60.70%,4.80%,7.10%
Kentfield Elementary,"1,097",0.80%,0.00%,3.60%,0.60%,15.40%,0.00%,64.00%,12.80%,2.80%
Laguna Joint Elementary,14,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,7.10%,7.10%,35.70%
Lagunitas Elementary,229,0.90%,0.00%,1.30%,0.00%,10.90%,0.00%,75.50%,10.50%,0.90%
Larkspur-Corte Madera,"1,434",0.30%,0.20%,5.60%,0.30%,13.00%,0.20%,72.10%,8.00%,0.20%
Lincoln Elementary,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
Marin County Office of Education,311,8.40%,0.30%,6.40%,0.60%,43.70%,0.30%,32.80%,5.10%,2.30%
Mill Valley Elementary,"2,640",0.50%,0.30%,4.40%,0.30%,8.60%,0.20%,75.10%,10.70%,0.00%
Miller Creek Elementary,"1,860",1.30%,0.10%,7.70%,1.20%,20.20%,0.30%,59.20%,9.50%,0.50%
Nicasio,34,0.00%,0.00%,2.90%,5.90%,52.90%,0.00%,32.40%,5.90%,0.00%
Novato Unified,"7,476",2.30%,0.80%,5.20%,1.00%,40.20%,0.30%,43.10%,7.00%,0.10%
Reed Union Elementary,"1,205",0.60%,0.20%,6.50%,0.40%,7.30%,0.00%,76.60%,8.50%,0.00%
Ross Elementary,376,0.00%,0.30%,0.30%,0.50%,6.40%,0.00%,86.20%,4.80%,1.60%
Ross Valley Elementary,"1,764",1.10%,0.30%,2.80%,0.40%,11.90%,0.10%,75.20%,7.90%,0.40%
San Rafael City Elementary,"4,415",0.80%,0.40%,2.80%,0.50%,70.70%,0.20%,22.40%,2.10%,0.10%
San Rafael City High,"2,666",1.30%,0.30%,4.20%,0.50%,57.70%,0.20%,33.00%,2.60%,0.20%
Sausalito Marin City,457,21.90%,0.20%,8.50%,0.40%,27.40%,0.00%,30.40%,10.50%,0.70%
SBE - Ross Valley Elementary,203,3.00%,0.00%,3.00%,0.50%,26.60%,0.00%,55.70%,9.40%,2.00%
Shoreline Unified,500,0.00%,0.60%,1.00%,0.00%,62.20%,0.60%,32.80%,0.60%,2.20%
Tamalpais Union High,"5,166",1.90%,0.30%,4.70%,0.60%,14.20%,0.40%,69.90%,4.30%,3.70%
Mariposa County Office of Education,40,0.00%,2.50%,0.00%,0.00%,10.00%,0.00%,77.50%,10.00%,0.00%
