name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Carmel Unified,"2,335",0.50%,0.10%,4.70%,0.50%,19.50%,0.10%,62.80%,10.10%,1.70%
Chualar Union,305,0.00%,0.00%,0.00%,0.00%,99.70%,0.00%,0.30%,0.00%,0.00%
Gonzales Unified,"2,254",0.20%,0.40%,0.00%,0.40%,97.40%,0.10%,1.30%,0.20%,0.00%
Graves Elementary,40,0.00%,0.00%,2.50%,0.00%,75.00%,0.00%,20.00%,2.50%,0.00%
Greenfield Union Elementary,"3,465",0.20%,0.10%,0.00%,0.20%,98.40%,0.10%,0.90%,0.00%,0.10%
King City Union,"2,555",0.10%,0.10%,0.90%,0.60%,94.40%,0.00%,3.20%,0.40%,0.20%
Lagunita Elementary,94,0.00%,0.00%,0.00%,0.00%,51.10%,1.10%,35.10%,9.60%,3.20%
Mission Union Elementary,123,0.00%,0.00%,2.40%,0.80%,80.50%,0.00%,14.60%,1.60%,0.00%
Monterey County Office of Education,"1,695",1.90%,0.10%,2.10%,1.20%,55.20%,0.50%,31.00%,7.40%,0.50%
Monterey Peninsula Unified,"9,994",5.50%,0.50%,4.60%,4.50%,61.40%,2.20%,18.30%,2.80%,0.30%
North Monterey County Unified,"4,583",0.20%,0.20%,0.30%,0.60%,89.10%,0.20%,8.90%,0.40%,0.20%
Pacific Grove Unified,"1,899",2.40%,1.10%,9.30%,2.20%,21.30%,0.80%,58.70%,3.00%,1.10%
Salinas City Elementary,"8,271",0.50%,0.40%,0.60%,1.10%,91.50%,0.20%,4.30%,1.50%,0.00%
Salinas Union High,"16,423",0.70%,0.10%,0.90%,1.60%,89.80%,0.10%,6.00%,0.60%,0.10%
San Antonio Union Elementary,120,0.80%,0.80%,0.00%,0.80%,36.70%,0.00%,51.70%,2.50%,6.70%
San Ardo Union Elementary,111,0.00%,0.00%,0.00%,0.00%,91.00%,0.00%,6.30%,0.00%,2.70%
San Lucas Union Elementary,71,0.00%,0.00%,0.00%,0.00%,90.10%,0.00%,9.90%,0.00%,0.00%
Santa Rita Union Elementary,"3,470",0.70%,0.10%,1.30%,1.70%,89.70%,0.30%,5.40%,0.20%,0.50%
Soledad Unified,"4,911",0.40%,0.10%,1.00%,1.00%,94.90%,0.10%,2.10%,0.30%,0.00%
South Monterey County Joint Union High,"2,659",0.30%,0.70%,0.30%,0.60%,94.10%,0.20%,3.80%,0.20%,0.00%
Spreckels Union Elementary,955,0.10%,0.10%,2.80%,1.60%,39.30%,0.10%,48.30%,7.20%,0.50%
Washington Union Elementary,791,0.40%,0.00%,5.70%,1.90%,25.40%,0.00%,57.90%,8.20%,0.50%
Calistoga Joint Unified,869,0.20%,0.10%,0.20%,0.90%,85.60%,0.10%,11.00%,0.00%,1.70%
Howell Mountain Elementary,88,0.00%,0.00%,1.10%,0.00%,53.40%,0.00%,42.00%,0.00%,3.40%
Napa County Office of Education,104,3.80%,1.00%,0.00%,0.00%,80.80%,1.00%,10.60%,1.00%,1.90%
Napa Valley Unified,"17,240",2.10%,0.20%,2.40%,6.80%,56.40%,0.20%,27.40%,4.30%,0.10%
Pope Valley Union Elementary,50,0.00%,0.00%,0.00%,0.00%,70.00%,0.00%,26.00%,4.00%,0.00%
Saint Helena Unified,"1,187",0.40%,0.30%,1.10%,0.20%,53.00%,0.00%,43.70%,1.30%,0.00%
Chicago Park Elementary,153,0.00%,0.70%,1.30%,0.00%,17.60%,0.00%,79.70%,0.70%,0.00%
Clear Creek Elementary,162,0.00%,1.90%,0.00%,0.60%,13.00%,0.00%,72.80%,11.70%,0.00%
Grass Valley Elementary,"1,694",0.50%,1.50%,1.20%,0.50%,18.10%,0.40%,74.90%,3.00%,0.10%
Nevada City Elementary,696,0.60%,0.70%,1.00%,0.30%,7.60%,0.00%,82.80%,7.00%,0.00%
Nevada County Office of Education,"3,106",3.00%,0.80%,1.10%,0.20%,40.80%,0.30%,47.60%,5.40%,0.80%
Nevada Joint Union High,"2,686",0.90%,1.40%,1.10%,0.30%,13.90%,0.00%,75.00%,7.10%,0.30%
Penn Valley Union Elementary,564,0.90%,1.20%,1.10%,0.40%,13.80%,0.00%,72.30%,10.30%,0.00%
Pleasant Ridge Union Elementary,"1,243",0.20%,0.30%,0.60%,0.20%,13.00%,0.10%,56.20%,5.90%,23.60%
Twin Ridges Elementary,82,0.00%,0.00%,0.00%,0.00%,13.40%,0.00%,73.20%,13.40%,0.00%
Union Hill Elementary,691,0.10%,0.40%,0.30%,0.00%,13.60%,0.00%,69.90%,3.90%,11.70%
Anaheim Elementary,"16,161",1.40%,0.10%,4.30%,1.60%,84.90%,0.40%,4.50%,1.10%,1.70%
Anaheim Union High,"29,183",2.10%,0.10%,13.50%,4.10%,68.80%,0.40%,8.70%,1.80%,0.30%
Brea-Olinda Unified,"5,990",1.50%,0.10%,24.70%,3.40%,38.20%,0.30%,27.70%,4.00%,0.20%
Buena Park Elementary,"4,133",3.00%,0.20%,16.20%,4.70%,66.70%,0.50%,5.60%,2.40%,0.60%
Capistrano Unified,"50,419",1.40%,0.20%,6.60%,1.90%,27.40%,0.10%,52.40%,7.60%,2.40%
Centralia Elementary,"4,044",2.70%,0.20%,17.90%,8.60%,51.70%,0.50%,12.90%,4.10%,1.50%
