,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
135,Bellflower Unified,998,26,20.0,21.0,20.0,21.0,0.42,0.026052104208416832,20.42,13391.0,65982.0,0.125,0.004,0.038,0.044000000000000004,0.662,0.01,0.083,0.028999999999999998,0.006
136,Beverly Hills Unified,333,57,30.0,30.0,28.0,28.0,1.0,0.17117117117117117,77.88,19769.0,106857.0,0.025,0.002,0.114,0.006,0.086,0.002,0.6890000000000001,0.054000000000000006,0.022000000000000002
137,Bonita Unified,868,93,24.0,25.0,24.0,24.0,0.73,0.10714285714285714,5.69,11358.0,87054.0,0.024,0.001,0.066,0.023,0.546,0.001,0.245,0.062,0.031
138,Burbank Unified,1335,131,25.0,26.0,25.0,24.0,0.82,0.09812734082397004,16.14,12056.0,75827.0,0.025,0.002,0.055999999999999994,0.036000000000000004,0.32899999999999996,0.001,0.475,0.053,0.023
139,Centinela Valley Union High,1859,233,17.0,19.0,18.0,18.0,0.28,0.1253362022592792,15.12,16522.0,54242.0,0.147,0.002,0.023,0.008,0.767,0.008,0.018000000000000002,0.025,0.003
140,Charter Oak Unified,390,18,21.0,22.0,21.0,23.0,0.67,0.046153846153846156,2.88,12980.0,81022.0,0.025,0.005,0.049,0.026000000000000002,0.711,0.001,0.15,0.031,0.0
141,Claremont Unified,589,134,25.0,26.0,25.0,25.0,0.84,0.22750424448217318,13.58,12213.0,97052.0,0.044000000000000004,0.002,0.10400000000000001,0.016,0.441,0.001,0.313,0.062,0.016
142,Covina-Valley Unified,1078,26,21.0,23.0,21.0,21.0,0.58,0.02411873840445269,7.78,13698.0,73801.0,0.027000000000000003,0.003,0.069,0.03,0.7879999999999999,0.002,0.069,0.012,0.002
143,Culver City Unified,519,91,25.0,25.0,23.0,24.0,0.75,0.17533718689788053,9.09,11949.0,95044.0,0.11599999999999999,0.001,0.106,0.015,0.371,0.003,0.258,0.12,0.009000000000000001
144,Downey Unified,2055,108,22.0,23.0,23.0,22.0,0.68,0.052554744525547446,8.08,13423.0,74957.0,0.028999999999999998,0.001,0.018000000000000002,0.008,0.89,0.002,0.045,0.006999999999999999,0.0
145,Duarte Unified,448,29,25.0,25.0,21.0,23.0,0.66,0.06473214285714286,1.68,14365.0,74984.0,0.05,0.001,0.057999999999999996,0.028999999999999998,0.672,0.002,0.125,0.036000000000000004,0.027000000000000003
146,El Monte Union High,2171,332,20.0,20.0,21.0,20.0,0.43,0.15292491939198527,25.52,15285.0,52729.0,0.003,0.0,0.196,0.006,0.7809999999999999,0.0,0.011000000000000001,0.002,0.002
147,El Rancho Unified,689,108,18.0,20.0,19.0,19.0,0.36,0.1567489114658926,19.31,13058.0,68467.0,0.005,0.0,0.004,0.004,0.9740000000000001,0.001,0.01,0.003,0.0
148,El Segundo Unified,298,70,26.0,26.0,26.0,26.0,0.87,0.2348993288590604,26.38,11604.0,109577.0,0.039,0.002,0.076,0.015,0.22399999999999998,0.003,0.484,0.156,0.0
149,Glendale Unified,2067,159,28.0,28.0,27.0,27.0,0.89,0.07692307692307693,22.17,12505.0,69114.0,0.011000000000000001,0.001,0.113,0.045,0.2,0.001,0.593,0.035,0.0
150,Glendora Unified,612,63,26.0,26.0,27.0,25.0,0.87,0.10294117647058823,8.67,11441.0,97274.0,0.012,0.002,0.10400000000000001,0.023,0.456,0.001,0.34600000000000003,0.055,0.0
152,Hawthorne,124,118,21.0,22.0,22.0,20.0,0.54,0.9516129032258065,42.17,13250.0,50580.0,0.201,0.004,0.023,0.013999999999999999,0.716,0.011000000000000001,0.021,0.006,0.004
153,Inglewood Unified,666,210,16.0,17.0,16.0,17.0,0.15,0.3153153153153153,24.69,14601.0,56766.0,0.376,0.006,0.005,0.002,0.589,0.005,0.005,0.008,0.005
154,La Canada Unified,340,113,29.0,29.0,28.0,28.0,0.94,0.3323529411764706,133.01,12010.0,186500.0,0.006,0.001,0.305,0.02,0.115,0.0,0.446,0.10400000000000001,0.005
